,AGE_REF,TOTEXPPQ,ALCBEVPQ,READPQ,APPARPQ,ENTERTPQ
3639564,67,13805,43,60,104,675
3639634,65,10873,130,66,370,590
3640054,33,24568.7501,190,40,150,334
3640214,62,18179.8501,66,132,111,3806
3641134,58,17457.0999,66,30,105,1296
3641194,79,3495,60,51,36,351
3641284,59,25863.5,1000,90,150,1791
3641414,30,7633.5,350,28,35,607
3641474,57,17473.6,380,19,187,931
3641654,74,10615,480,29,199,250
3641814,72,15836,1123,106,123,501
3641874,59,33433.25,23,105,517,3260
3642244,27,12100.5002,360,45,668,829
3642344,56,18672.75,562,182,224,1623
3642394,34,22588.7499,150,60,1336,214
3642614,48,38310.5369,265,31,1143,1042
3642784,37,20659.2501,240,249,150,342
3642824,33,15291.2501,240,20,343,1189
3643634,63,51804.3501,540,135,740,326
3643644,68,9035,105,32,211,140
3643764,70,22666.5,111,8,156,1498
3643804,35,16114.5867,240,59,210,1066
3644034,66,17034,300,29,435,307
3644654,69,23571.75,15,55,102,978
3645094,87,12042.5,23,69,22,612
3645114,48,19900.2502,99,100,429,1281
3645164,29,14553.2499,40,15,237,195
3645174,79,7970,30,14,40,438
3645264,66,14441.6001,345,128,316,716
3645844,55,37135.75,180,90,303,15572
3645884,39,19292.45,282,300,1000,833
3645904,30,17552.75,150,18,651,428
3646174,36,51936.4867,972,210,360,2151
3646374,42,43455.0869,60,40,429,460
3646384,65,38403.2501,24,72,784,473
3646824,68,15498,60,100,318,1427
3647074,55,25730.2999,300,80,638,2879
3647274,47,27207.25,588,92,2096,1565
3647814,62,26567.0868,411,102,300,121
3647844,51,45844.2501,460,200,1104,1776
3648724,23,5001.95,75,45,100,330
3648934,80,33367,51,309,614,884
3648944,65,13692,6,250,168,532
3649174,44,14802.25,450,275,115,499
3649524,59,23294.7499,145,97,1182,1328
3649864,50,13281.5,44,35,728,767
3650024,24,4191.8667,110,20,199.6667,54
3650264,64,6055,50,26,268,230
3650394,31,14216.8333,675,116,488,1301
3650514,52,20341.9489,550,100,910.6667,1032
3650604,33,7510.6668,40,30,65,530
3650614,45,18472.8913,140,444,66,653.6667
3650744,36,11714.0001,20,88,361,810
3650954,60,5587.1667,80,59,363,45
3651004,67,6433.1667,120,56,425,306
3651084,74,2555,4,10,64,240
3651474,53,11857.8333,70,114,750,913
3651884,65,13526.9999,274,100,509,1644
3651974,53,19320.3999,340,50,96,385
3652144,48,17470.6666,260,93,462,433
3652594,54,4905.6667,50,30,131,200
3652974,54,10847.6667,320,35,271.6667,418
3653584,71,4960.9999,140,27,30,104
3653824,44,18180.3334,754,60,31,271
